iter	Passed	Remaining
696	2847	1238
697	2851	1233
698	2854	1229
699	2858	1224
700	2862	1220
701	2866	1216
702	2869	1212
703	2872	1207
704	2876	1203
705	2881	1199
706	2894	1199
707	2897	1195
708	2901	1190
709	2904	1186
710	2907	1181
711	2911	1177
712	2914	1173
713	2917	1168
714	2921	1164
715	2924	1160
716	2928	1155
717	2931	1151
718	2935	1147
719	2939	1142
720	2943	1138
721	2946	1134
722	2950	1130
723	2955	1126
724	2960	1122
725	2968	1120
726	2976	1117
727	2982	1114
728	2990	1111
729	2995	1107
730	3000	1104
731	3015	1103
732	3018	1099
733	3022	1095
734	3026	1091
735	3030	1087
736	3034	1082
737	3037	1078
738	3041	1074
739	3046	1070
740	3049	1066
741	3053	1061
742	3058	1057
743	3065	1054
744	3071	1051
745	3076	1047
746	3080	1043
747	3085	1039
748	3089	1035
749	3093	1031
750	3096	1026
751	3101	1022
752	3105	1018
753	3108	1014
754	3112	1009
755	3116	1005
756	3120	1001
757	3124	997
758	3127	993
759	3133	989
760	3137	985
761	3140	981
762	3144	976
763	3148	972
764	3152	968
765	3156	964
766	3160	960
767	3165	956
768	3168	951
769	3172	947
770	3176	943
771	3179	939
772	3183	934
773	3186	930
774	3190	926
775	3194	922
776	3197	917
777	3201	913
778	3204	909
779	3208	904
780	3211	900
781	3215	896
782	3219	892
783	3222	887
784	3226	883
785	3230	879
786	3234	875
787	3237	871
788	3241	866
789	3245	862
790	3248	858
791	3252	854
792	3255	849
793	3260	845
794	3263	841
795	3267	837
796	3271	833
797	3275	829
798	3279	824
799	3282	820
800	3286	816
801	3290	812
802	3293	808
803	3297	803
804	3301	799
805	3305	795
806	3308	791
807	3313	787
808	3317	783
809	3321	779
810	3325	774
811	3328	770
812	3332	766
813	3335	762
814	3339	758
815	3343	753
816	3347	749
817	3350	745
818	3354	741
819	3358	737
820	3362	733
821	3365	728
822	3369	724
823	3373	720
824	3376	716
825	3380	712
826	3383	707
827	3388	703
828	3392	699
829	3395	695
830	3399	691
831	3403	687
832	3406	682
833	3410	678
834	3413	674
835	3417	670
836	3421	666
837	3424	662
838	3428	657
839	3432	653
840	3436	649
841	3441	645
842	3445	641
843	3449	637
844	3454	633
845	3458	629
846	3462	625
847	3467	621
848	3472	617
849	3476	613
850	3481	609
851	3485	605
852	3489	601
853	3493	597
854	3497	593
855	3501	589
856	3505	584
857	3508	580
858	3513	576
859	3517	572
860	3521	568
861	3524	564
862	3528	560
863	3532	556
864	3536	551
865	3540	547
866	3544	543
867	3548	539
868	3552	535
869	3555	531
870	3559	527
871	3564	523
872	3568	519
873	3572	515
874	3577	511
875	3581	506
876	3585	502
877	3589	498
878	3594	494
879	3599	490
880	3603	486
881	3606	482
882	3611	478
883	3615	474
884	3618	470
885	3622	466
886	3627	462
887	3631	457
888	3634	453
889	3638	449
890	3644	445
891	3648	441
892	3651	437
893	3655	433
894	3659	429
895	3663	425
896	3667	421
897	3671	417
898	3675	412
899	3679	408
900	3682	404
901	3686	400
902	3690	396
903	3694	392
904	3697	388
905	3701	384
906	3705	379
907	3709	375
908	3712	371
909	3716	367
910	3720	363
911	3724	359
912	3727	355
913	3731	351
914	3736	347
915	3740	342
916	3743	338
917	3747	334
918	3751	330
919	3755	326
920	3758	322
921	3762	318
922	3766	314
923	3770	310
924	3773	305
925	3777	301
926	3781	297
927	3786	293
928	3791	289
929	3795	285
930	3800	281
931	3804	277
932	3808	273
933	3812	269
934	3817	265
935	3821	261
936	3826	257
937	3830	253
938	3834	249
939	3838	245
940	3842	240
941	3847	236
942	3852	232
943	3856	228
944	3860	224
945	3864	220
946	3868	216
947	3873	212
948	3877	208
949	3882	204
950	3887	200
951	3892	196
952	3897	192
953	3901	188
954	3905	184
955	3909	179
956	3914	175
957	3918	171
958	3922	167
959	3927	163
960	3931	159
961	3935	155
962	3939	151
963	3943	147
964	3948	143
965	3952	139
966	3958	135
967	3962	130
968	3966	126
969	3970	122
970	3974	118
971	3979	114
972	3984	110
973	3990	106
974	3995	102
975	4000	98
976	4006	94
977	4012	90
978	4018	86
979	4023	82
980	4028	78
981	4033	73
982	4049	70
983	4055	65
984	4059	61
985	4063	57
986	4068	53
987	4073	49
988	4077	45
989	4081	41
990	4086	37
991	4090	32
992	4093	28
993	4097	24
994	4101	20
995	4105	16
996	4109	12
997	4113	8
998	4117	4
999	4125	0
